"","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ENSG00000278700",3.22957103878471,5.97277560688275,1.80335008312475e-07,2.75933190900065e-06,7.02972142342267,"Metazoa_SRP"
"ENSG00000167355",2.31744947794366,-5.97276880044274,1.80339562585382e-07,2.75933190900065e-06,7.07363862317144,"OR51B5"
"ENSG00000261668",3.63945636903523,5.97273055818084,1.80365153077072e-07,2.75933190900065e-06,7.094200810568,"AC093591.2"
"ENSG00000279617",2.339976678095,-5.97207729251939,1.80802854573168e-07,2.76521386708695e-06,7.07109073200037,"AC005796.1"
"ENSG00000118508",5.73528949219124,-5.97124995615584,1.81358700561588e-07,2.77289874307733e-06,6.34587467322995,"RAB32"
"ENSG00000245685",4.3272577153232,5.96946172154494,1.8256592821519e-07,2.79053552059193e-06,7.0390222254447,"FRG1-DT"
"ENSG00000105281",5.96958114966546,-5.96912822948972,1.82791947825295e-07,2.7931684874457e-06,6.08362318784101,"SLC1A5"
"ENSG00000122870",5.84139311407529,-5.96797720472031,1.83574174628169e-07,2.80429658001526e-06,6.42031967695775,"BICC1"
"ENSG00000186019",3.88733995892873,5.96766736267956,1.83785307680376e-07,2.8066966123534e-06,7.07927001554809,"AC021092.1"
"ENSG00000229666",4.69831418133694,5.96712769714927,1.84153623089497e-07,2.81149495562495e-06,6.89704881208922,"MAST4-AS1"
"ENSG00000272159",3.71991462569683,5.96573012844536,1.8511085636129e-07,2.82527891639084e-06,7.0745371916466,"AC087623.3"
"ENSG00000251179",4.66379443729822,-5.9650876766886,1.85552544667082e-07,2.83118851854144e-06,6.59876185724391,"TMEM92-AS1"
"ENSG00000204859",5.73760520569373,5.96315806978206,1.86885456677041e-07,2.85068908285349e-06,5.84451874341073,"ZBTB48"
"ENSG00000272663",4.04570786168901,5.96216879119245,1.87572500149075e-07,2.85956610333979e-06,7.04295439089103,"AC093635.1"
"ENSG00000183340",5.69187168048728,-5.96216160934575,1.87577497020095e-07,2.85956610333979e-06,6.28014197159383,"JRKL"
"ENSG00000248027",4.1085888224064,-5.96097697164044,1.88403536309049e-07,2.87131631721922e-06,6.51440282368961,"AP001351.1"
"ENSG00000141294",5.08876049450523,5.96060942404708,1.8866055771591e-07,2.87383989643363e-06,6.54947914817747,"LRRC46"
"ENSG00000250790",4.68890319452372,5.96058199423463,1.88679752987934e-07,2.87383989643363e-06,6.81695445441372,"AC127070.2"
"ENSG00000272969",3.63161338408151,5.95984903129552,1.89193396072675e-07,2.88081878650638e-06,7.04080242893978,"AC024243.1"
"ENSG00000189238",3.52111894155304,-5.95926719733074,1.89602119465435e-07,2.88619645904108e-06,6.82007534866186,"LINC00943"
"ENSG00000204758",4.60196028126437,5.95884984302429,1.89895839800444e-07,2.88982087316704e-06,6.91068672503018,"AC008429.1"
"ENSG00000101773",5.7845490211482,-5.95865147203961,1.90035605120468e-07,2.89110097464973e-06,6.14436934189733,"RBBP8"
"ENSG00000155903",5.74569954892968,-5.95820543501566,1.90350240340603e-07,2.89503992583597e-06,6.1952130962731,"RASA2"
"ENSG00000197013",5.40991793581969,5.95788921971734,1.90573612264562e-07,2.89758895276355e-06,6.22243924228616,"ZNF429"
"ENSG00000107554",5.88069164835763,-5.95681057393866,1.91337518004869e-07,2.90835266542567e-06,6.04773540822529,"DNMBP"
