"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ENSG00000237179",-0.909874479598691,2.74659051578222,-2.5623789030349,0.0131760757942467,0.0419480263382739,-2.93233380506308,"LINC01797"
"ENSG00000166743",-0.376489718363879,5.03896356695645,-2.56230464366436,0.0131785853972851,0.0419508746847958,-3.58251429106455,"ACSM1"
"ENSG00000228237",-1.05399219670195,3.12154918200586,-2.56222560853302,0.0131812568746641,0.0419568079687722,-2.90361952234388,"EFCAB14-AS1"
"ENSG00000158201",-0.108193883197674,5.74596057495847,-2.56216006820158,0.0131834725855734,0.0419612898799781,-4.66176654033556,"ABHD3"
"ENSG00000237070",-2.25767969992969,4.2741663669583,-2.5620528990558,0.0131870963637434,0.0419702526636809,-2.91221024517648,"AC005550.2"
"ENSG00000224963",-0.969876790945934,3.19232891176046,-2.56187914905918,0.0131929734051565,0.0419838135667954,-2.90056451898331,"U82695.1"
"ENSG00000211782",-1.0459487199616,3.06965669892835,-2.56183527745642,0.0131944577251221,0.0419859653733689,-2.91010194510516,"TRAV8-1"
"ENSG00000157404",-0.182487333167038,5.59079990719855,-2.56178965272002,0.0131960015202557,0.0419883061601766,-4.37236516625061,"KIT"
"ENSG00000180871",-0.96363407046202,4.59139332192252,-2.56176383285027,0.0131968752547577,0.0419885147275205,-3.07745852382216,"CXCR2"
"ENSG00000213183",-0.559367678120491,2.02084397312404,-2.56129668241627,0.0132126925260827,0.0420304445053587,-3.1524121780119,"RPS7P8"
"ENSG00000214754",-0.796628737414524,2.50366870970043,-2.56095477252942,0.0132242801836021,0.0420562196168238,-2.99306403441074,"AC004870.1"
"ENSG00000231931",-0.429191972354092,1.73132484460329,-2.56094443629003,0.0132246306324836,0.0420562196168238,-3.33718990939535,"AC024082.2"
"ENSG00000187017",-0.58084219265089,5.38871027778526,-2.56071517496848,0.0132324058773976,0.0420783703607735,-3.74673304465864,"ESPN"
"ENSG00000256340",-0.806648923003461,4.46927666936904,-2.56065891711945,0.0132343144592284,0.0420818638481397,-3.07111240536636,"ABCC6P1"
"ENSG00000224820",-0.803734463407853,2.62227803966876,-2.56057353682741,0.0132372115154175,0.0420871790619808,-2.96069139042086,"BTF3P4"
"ENSG00000231367",-0.778907973084713,3.83799643999192,-2.55987727111045,0.0132608581615446,0.042155945966156,-2.93909958140072,"LINC02613"
"ENSG00000242258",-0.638796984547582,4.56161419436805,-2.55972495530447,0.0132660362382746,0.0421698266472908,-3.14847105972364,"LINC00996"
"ENSG00000229111",-0.909404699677589,3.45234122887858,-2.55925064367658,0.0132821725419523,0.0422185373046552,-2.90780284442498,"MED4-AS1"
"ENSG00000277299",-0.535561272528918,4.04838714884552,-2.55903791139215,0.0132894155829237,0.0422389757246555,-3.01214448258307,"AC084876.1"
"ENSG00000146674",-0.200131709216376,6.22483916150121,-2.55891670523459,0.0132935439755631,0.0422491563520305,-5.48711585848675,"IGFBP3"
"ENSG00000256494",-0.625653647046563,2.08669482550005,-2.5588961252667,0.0132942450637679,0.0422491563520305,-3.14402373548151,"LINC02825"
"ENSG00000170178",-0.547605523481496,1.80279533598507,-2.55852790068438,0.0133067948765859,0.0422812807178854,-3.31786185174809,"HOXD12"
"ENSG00000279756",-0.452194545677174,1.76382681614102,-2.55845314004769,0.013309344178712,0.0422842088583627,-3.33159516103275,"AC012317.2"
"ENSG00000180730",-0.228131120659587,5.52534997801687,-2.55829099973532,0.0133148746104098,0.0422991925834188,-4.22226910885984,"SHISA2"
"ENSG00000184995",-1.95680079807452,3.99577945613944,-2.55801348682535,0.0133243451205679,0.0423237418409655,-2.91797654161936,"IFNE"
"ENSG00000249082",-1.33262402294694,3.32242691125977,-2.55799295313296,0.013325046104105,0.0423237418409655,-2.92388011915656,"C5orf66-AS1"
"ENSG00000075884",-0.190832270633578,5.43902499271806,-2.55784223757673,0.0133301922888277,0.0423351497558074,-4.15692989844571,"ARHGAP15"
"ENSG00000183128",-1.50669913661298,4.74609462932069,-2.55749300782741,0.0133421236807137,0.0423702135518214,-3.00104446014672,"CALHM3"
"ENSG00000159958",-0.587144189541383,5.05407550683859,-2.55702186069746,0.0133582357329037,0.0424110107105401,-3.4813430868051,"TNFRSF13C"
"ENSG00000159352",-0.067185963540787,6.04856590190354,-2.55637539889171,0.0133803718624341,0.0424760992142798,-5.29003453955388,"PSMD4"
"ENSG00000211639",-2.17471620387797,4.19534417248403,-2.55635017095744,0.0133812363916747,0.0424762482735424,-2.92253152747102,"IGLV4-60"
"ENSG00000273442",-0.711032315473996,2.37288593307885,-2.5560509739601,0.0133914933611265,0.0425036132985501,-3.01572708985351,"AC006946.3"
"ENSG00000226147",-0.856980849186753,2.92048225608216,-2.55558305367098,0.013407548758704,0.0425519724013261,-2.92084415415837,"TUBBP10"
"ENSG00000238142",-0.182515148843001,5.26688789689747,-2.5553567495211,0.0134153200321592,0.0425714351912288,-3.96424308582376,"BX284668.5"
"ENSG00000100902",-0.0732751849906528,5.74067881090065,-2.55516221308628,0.0134220036726302,0.042587442213743,-4.71894215451596,"PSMA6"
"ENSG00000267748",-0.693193111090011,4.48234648285456,-2.55510086520163,0.0134241120138034,0.0425915307215354,-3.11524027704874,"AC011479.1"
"ENSG00000160688",-0.0674810528185992,5.81480332387837,-2.55463957460686,0.0134399748095646,0.0426366520886681,-4.8393698583132,"FLAD1"
"ENSG00000157766",-0.31623798656392,5.27843937808901,-2.55399557153454,0.0134621491621532,0.0427017826222913,-3.88927654829449,"ACAN"
"ENSG00000114491",-0.058419644280062,5.76707884713549,-2.55390040947429,0.0134654286031904,0.0427069701269859,-4.77438483593587,"UMPS"
"ENSG00000135655",-0.0551392382476763,5.87619264922442,-2.55360122320945,0.0134757437790874,0.0427332818314029,-4.97353101625633,"USP15"
"ENSG00000115041",-0.215980372607841,5.1902384639118,-2.55352698054792,0.0134783045865865,0.0427373717724452,-3.87707704311616,"KCNIP3"
"ENSG00000116703",-0.98355063455941,3.04249674571096,-2.55343458150655,0.0134814922682564,0.0427448705788472,-2.92690023100105,"PDC"
"ENSG00000250848",-0.612759152238077,3.96032723464851,-2.5531983557503,0.0134896449508224,0.0427658712649631,-2.99503540300732,"AC021087.2"
"ENSG00000188483",-0.184010048882851,5.70065054462835,-2.55316677519391,0.0134907352060246,0.0427658712649631,-4.50986164485612,"IER5L"
"ENSG00000109534",-0.0700990521643581,5.69602829690726,-2.5531472775801,0.0134914083618729,0.0427658712649631,-4.64843614633861,"GAR1"
"ENSG00000124635",-0.612147132714082,4.89139695894502,-2.55213224383054,0.0135264945833966,0.0428718581982546,-3.36690103634386,"HIST1H2BJ"
"ENSG00000273096",-0.461342722971313,4.33493085938209,-2.55185524034917,0.0135360840161865,0.0428924480050583,-3.132018432766,"AL021707.8"
"ENSG00000271109",-0.383934845673338,4.84959977493136,-2.55184227151025,0.0135365331285547,0.0428924480050583,-3.43682539648479,"AC008555.4"
"ENSG00000145536",-0.331836250639592,5.19118423474336,-2.55180152186838,0.013537944381317,0.0428924480050583,-3.79910642091633,"ADAMTS16"
"ENSG00000235472",-0.831312976588186,2.97833891303415,-2.55115639040677,0.0135603045526594,0.0429504973618501,-2.92235438183442,"EIF4A1P7"
"ENSG00000240280",-1.02214052798981,3.36021803286885,-2.55101822669232,0.0135650976451613,0.0429627580502748,-2.92261941090925,"TCAM1P"
"ENSG00000250842",-0.943446171247251,2.83889054830378,-2.55065522455763,0.0135776980257205,0.0430000440858448,-2.96053971471977,"AC137770.1"
"ENSG00000197061",-0.999764649270478,3.08404034310633,-2.55059452774254,0.0135798059449632,0.0430040983825805,-2.92721353859243,"HIST1H4C"
"ENSG00000232725",-0.521217157627852,4.42947209773641,-2.55036310959277,0.0135878455134281,0.043026935198674,-3.15414175598099,"U52111.1"
"ENSG00000160111",-0.211545055482848,5.37828901994924,-2.55033724872861,0.0135887441995504,0.0430271584680303,-4.08105129152071,"CPAMD8"
"ENSG00000183955",-0.0638143883539399,5.76351618389701,-2.55031312619646,0.013589582525849,0.0430271905995466,-4.77153728787476,"KMT5A"
"ENSG00000119013",-0.0751853357372054,5.80891592228438,-2.55010150653072,0.0135969389209838,0.04304785890925,-4.83234778020519,"NDUFB3"
"ENSG00000224549",-0.937675051273359,2.78493296012137,-2.54999846126813,0.0136005223239576,0.0430565801486135,-2.96912506113219,"AC017067.1"
"ENSG00000115616",-1.04927701493906,5.14828030268698,-2.54997189902834,0.0136014461658126,0.0430568811905087,-3.30889397013444,"SLC9A2"
"ENSG00000077348",-0.117669010636108,5.67292458386327,-2.54989032935307,0.0136042835371236,0.0430606157480029,-4.56669265653655,"EXOSC5"
"ENSG00000260943",-0.905796062606931,2.67481197405633,-2.54985335637494,0.0136055698055732,0.043062063580795,-2.9840557661381,"LINC02555"
"ENSG00000273264",-0.389902431390647,4.12996693444091,-2.54970619050922,0.0136106907147784,0.0430756472585037,-3.08735909144226,"AL360219.1"
"ENSG00000261131",-0.528909773194272,3.90400496561074,-2.54930566939596,0.0136246364500612,0.0431171567354864,-3.00214218592225,"AC012186.2"
"ENSG00000254791",-0.688880820854206,2.3260181344658,-2.54924900442567,0.0136266105131763,0.0431207773542188,-3.05432788537558,"FAR1-IT1"
"ENSG00000270432",-0.523381879939207,1.77176517497009,-2.54914170375546,0.0136303493061965,0.0431299815977911,-3.34980319927834,"OR7E108P"
"ENSG00000279741",-1.31221566086491,3.27110800398391,-2.54900806169435,0.0136350072426268,0.0431394657014453,-2.93917250442983,"AC007342.8"
"ENSG00000163882",-0.0866282902500952,5.88403685123097,-2.54882964306453,0.0136412280653254,0.0431532867410125,-4.94616588248474,"POLR2H"
"ENSG00000054392",-0.112118847192241,5.516121644709,-2.54881130917332,0.0136418674487891,0.0431532867410125,-4.35301887619024,"HHAT"
"ENSG00000225434",-0.490099610185576,4.98811014442677,-2.54861212737284,0.0136488155477208,0.0431726370146903,-3.52247669939272,"LINC01504"
"ENSG00000102753",-0.0630744492882895,5.86579707893895,-2.54856426189803,0.0136504857272954,0.0431735202737315,-4.96689889217645,"KPNA3"
"ENSG00000259294",-0.794787196979779,2.53981365046014,-2.54855649444925,0.0136507567759285,0.0431735202737315,-3.01214542364932,"AC005096.1"
"ENSG00000249035",-1.07894486316033,3.38930200199821,-2.54835289458843,0.0136578632272262,0.0431907374829453,-2.92844728615642,"CLMAT3"
"ENSG00000233261",-0.741471522270551,2.48951798837804,-2.54685442645408,0.0137102691445721,0.0433353606580946,-3.01535348063678,"FAM238A"
"ENSG00000165637",-0.0637861365096581,5.91974461216826,-2.5466436767773,0.0137176543102715,0.0433538699025157,-5.06240555618178,"VDAC2"
"ENSG00000235885",-0.862126588547825,3.97266101441712,-2.54663969263865,0.0137177939586452,0.0433538699025157,-2.97712654574044,"LINC01828"
"ENSG00000230798",-1.48373703350478,3.74315421002683,-2.54661375888938,0.0137187029961664,0.0433541055634326,-2.93576809345866,"FOXD3-AS1"
"ENSG00000259659",-0.415124392383305,4.18695407177947,-2.54627463529409,0.0137305950895684,0.0433864090307406,-3.10547639734382,"AC009996.1"
"ENSG00000198053",-0.119344503719732,5.90942502569356,-2.54517807433189,0.0137691123941519,0.0435028256705041,-4.98355554439051,"SIRPA"
"ENSG00000173175",-0.199839090491137,5.59814098723827,-2.54512666125177,0.0137709207104388,0.0435058932557091,-4.39777010097191,"ADCY5"
"ENSG00000102908",-0.136138089212116,5.81813981712587,-2.54473466530338,0.0137847151956595,0.0435441778607218,-4.79266179133057,"NFAT5"
